Date,Time,Open,High,Low,Close,Volume
2024-01-02,14:30,4000.00,4000.50,3997.50,4000.00,1000
2024-01-02,14:35,4001.38,4005.25,3999.80,4003.06,1001
2024-01-02,14:40,4002.76,4006.90,4001.43,4004.58,1002
2024-01-02,14:45,4004.13,4005.20,4001.65,4004.42,1003
2024-01-02,14:50,4005.50,4007.51,4002.18,4003.98,1004
2024-01-02,14:55,4006.85,4009.27,4003.86,4004.93,1005
2024-01-02,15:00,4008.18,4009.24,4005.20,4007.62,1006
2024-01-02,15:05,4009.50,4012.63,4007.49,4010.82,1007
2024-01-02,15:10,4010.80,4015.26,4010.01,4012.78,1008
2024-01-02,15:15,4012.07,4014.22,4009.75,4012.90,1009
2024-01-02,15:20,4013.32,4014.91,4010.05,4012.23,1010
2024-01-02,15:25,4014.53,4017.03,4012.03,4012.53,1011
2024-01-02,15:30,4015.72,4017.29,4012.46,4014.65,1012
2024-01-02,15:35,4016.87,4019.05,4014.56,4017.71,1013
2024-01-02,15:40,4017.99,4022.45,4017.21,4019.97,1014
2024-01-02,15:45,4019.06,4022.17,4017.04,4020.36,1015
2024-01-02,15:50,4020.10,4021.18,4017.11,4019.52,1016
2024-01-02,15:55,4021.09,4023.52,4018.12,4019.17,1017
2024-01-02,16:00,4022.04,4024.04,4018.72,4020.54,1018
2024-01-02,16:05,4022.95,4024.05,4020.47,4023.25,1019
2024-01-02,16:10,4023.80,4027.95,4022.49,4025.63,1020
2024-01-02,16:15,4024.61,4028.46,4023.01,4026.28,1021
2024-01-02,16:20,4025.37,4025.89,4022.85,4025.35,1022
2024-01-02,16:25,4026.08,4028.27,4022.82,4024.38,1023
2024-01-02,16:30,4026.73,4029.04,4023.57,4024.92,1024
2024-01-02,16:35,4027.33,4028.10,4024.59,4027.07,1025
2024-01-02,16:40,4027.89,4031.44,4026.09,4029.41,1026
2024-01-02,16:45,4028.38,4032.71,4027.30,4030.30,1027
2024-01-02,16:50,4028.83,4030.41,4026.40,4029.37,1028
2024-01-02,16:55,4029.22,4031.05,4025.90,4027.90,1029
2024-01-02,17:00,4029.56,4032.04,4026.78,4027.59,1030
2024-01-02,17:05,4029.85,4031.16,4026.71,4029.04,1031
2024-01-02,17:10,4030.09,4032.79,4027.92,4031.19,1032
2024-01-02,17:15,4030.28,4034.78,4029.75,4032.28,1033
2024-01-02,17:20,4030.41,4033.03,4028.22,4031.47,1034
2024-01-02,17:25,4030.50,4031.86,4027.34,4029.65,1035
2024-01-02,17:30,4030.54,4033.03,4027.80,4028.56,1036
2024-01-02,17:35,4030.54,4032.33,4027.22,4029.25,1037
2024-01-02,17:40,4030.49,4032.18,4028.08,4031.09,1038
2024-01-02,17:45,4030.40,4034.76,4029.37,4032.33,1039
2024-01-02,17:50,4030.27,4033.75,4028.44,4031.76,1040
2024-01-02,17:55,4030.10,4030.92,4027.31,4029.79,1041
2024-01-02,18:00,4029.90,4032.23,4026.77,4028.07,1042
2024-01-02,18:05,4029.66,4031.83,4026.39,4028.00,1043
2024-01-02,18:10,4029.39,4029.96,4026.89,4029.43,1044
2024-01-02,18:15,4029.10,4033.00,4027.55,4030.80,1045
2024-01-02,18:20,4028.77,4032.88,4027.41,4030.58,1046
2024-01-02,18:25,4028.42,4029.42,4025.94,4028.67,1047
2024-01-02,18:30,4028.06,4030.09,4024.74,4026.52,1048
2024-01-02,18:35,4027.67,4030.08,4024.66,4025.76,1049
2024-01-02,18:40,4027.27,4028.29,4024.31,4026.74,1050
2024-01-02,18:45,4026.86,4030.04,4024.87,4028.20,1051
2024-01-02,18:50,4026.43,4030.88,4025.61,4028.41,1052
2024-01-02,18:55,4026.01,4028.09,4023.67,4026.80,1053
2024-01-02,19:00,4025.57,4027.19,4022.30,4024.46,1054
2024-01-02,19:05,4025.14,4027.64,4022.60,4023.14,1055
2024-01-02,19:10,4024.72,4026.26,4021.47,4023.67,1056
2024-01-02,19:15,4024.29,4026.54,4021.99,4025.17,1057
2024-01-02,19:20,4023.88,4028.35,4023.14,4025.87,1058
2024-01-02,19:25,4023.48,4026.53,4021.44,4024.75,1059
2024-01-02,19:30,4023.09,4024.20,4020.08,4022.48,1060
2024-01-02,19:35,4022.72,4025.16,4019.78,4020.79,1061
2024-01-02,19:40,4022.38,4024.35,4019.05,4020.90,1062
2024-01-02,19:45,4022.05,4023.22,4019.58,4022.39,1063
2024-01-02,19:50,4021.75,4025.93,4020.47,4023.59,1064
2024-01-02,19:55,4021.48,4025.29,4019.85,4023.13,1065
2024-01-02,20:00,4021.24,4021.79,4018.69,4021.19,1066
2024-01-02,20:05,4021.03,4023.24,4017.78,4019.32,1067
2024-01-02,20:10,4020.86,4023.15,4017.68,4019.06,1068
2024-01-02,20:15,4020.72,4021.45,4018.00,4020.49,1069
2024-01-02,20:20,4020.62,4024.22,4018.86,4022.17,1070
2024-01-02,20:25,4020.57,4024.87,4019.45,4022.47,1071
2024-01-02,20:30,4020.55,4022.07,4018.12,4021.06,1072
2024-01-02,20:35,4020.58,4022.44,4017.26,4019.23,1073
2024-01-02,20:40,4020.66,4023.13,4017.84,4018.69,1074
2024-01-02,20:45,4020.78,4022.05,4017.66,4020.00,1075
2024-01-02,20:50,4020.95,4023.71,4018.80,4022.08,1076
2024-01-02,20:55,4021.16,4025.66,4020.60,4023.16,1077
2024-01-02,21:00,4021.43,4023.98,4019.21,4022.45,1078
2024-01-02,21:05,4021.74,4023.13,4018.56,4020.85,1079
2024-01-02,21:10,4022.10,4024.59,4019.39,4020.11,1080
2024-01-02,21:15,4022.51,4024.27,4019.20,4021.25,1081
2024-01-02,21:20,4022.98,4024.73,4020.58,4023.60,1082
2024-01-02,21:25,4023.49,4027.86,4022.49,4025.42,1083
2024-01-02,21:30,4024.04,4027.48,4022.18,4025.51,1084
2024-01-02,21:35,4024.65,4025.50,4021.83,4024.30,1085
2024-01-02,21:40,4025.30,4027.65,4022.19,4023.46,1086
2024-01-02,21:45,4026.00,4028.15,4022.72,4024.36,1087
2024-01-02,21:50,4026.75,4027.39,4024.25,4026.82,1088
2024-01-02,21:55,4027.54,4031.48,4026.02,4029.26,1089
2024-01-02,22:00,4028.37,4032.44,4026.97,4030.15,1090
2024-01-02,22:05,4029.24,4030.16,4026.75,4029.45,1091
2024-01-02,22:10,4030.15,4032.20,4026.83,4028.59,1092
2024-01-02,22:15,4031.09,4033.49,4028.06,4029.20,1093
2024-01-02,22:20,4032.07,4033.06,4029.14,4031.58,1094
2024-01-02,22:25,4033.09,4036.32,4031.13,4034.45,1095
2024-01-02,22:30,4034.13,4038.56,4033.27,4036.10,1096
2024-01-02,22:35,4035.20,4037.22,4032.85,4035.96,1097
2024-01-02,22:40,4036.30,4037.95,4033.01,4035.15,1098
2024-01-02,22:45,4037.42,4039.92,4034.84,4035.42,1099
2024-01-02,22:50,4038.56,4040.07,4035.32,4037.55,1100
2024-01-02,22:55,4039.71,4042.02,4037.43,4040.62,1101
2024-01-02,23:00,4040.89,4045.36,4040.18,4042.88,1102
2024-01-02,23:05,4042.07,4045.06,4040.00,4043.31,1103
2024-01-02,23:10,4043.26,4044.40,4040.22,4042.62,1104
2024-01-02,23:15,4044.45,4046.90,4041.53,4042.51,1105
2024-01-02,23:20,4045.65,4047.61,4042.33,4044.20,1106
2024-01-02,23:25,4046.85,4048.09,4044.39,4047.22,1107
2024-01-02,23:30,4048.05,4052.25,4046.79,4049.90,1108
2024-01-02,23:35,4049.23,4053.00,4047.58,4050.87,1109
2024-01-02,23:40,4050.41,4051.00,4047.82,4050.32,1110
2024-01-02,23:45,4051.57,4053.80,4048.34,4049.84,1111
2024-01-02,23:50,4052.72,4055.00,4049.53,4050.94,1112
2024-01-02,23:55,4053.85,4054.55,4051.17,4053.66,1113
2024-01-03,00:00,4054.96,4058.60,4053.22,4056.53,1114
2024-01-03,00:05,4056.04,4060.32,4054.89,4057.93,1115
2024-01-03,00:10,4057.10,4058.54,4054.65,4057.57,1116
2024-01-03,00:15,4058.12,4060.00,4054.79,4056.74,1117
2024-01-03,00:20,4059.11,4061.58,4056.27,4057.15,1118
2024-01-03,00:25,4060.07,4061.31,4056.97,4059.33,1119
2024-01-03,00:30,4060.99,4063.81,4058.86,4062.15,1120
2024-01-03,00:35,4061.87,4066.37,4061.27,4063.87,1121
2024-01-03,00:40,4062.71,4065.20,4060.48,4063.71,1122
2024-01-03,00:45,4063.50,4064.92,4060.31,4062.58,1123
2024-01-03,00:50,4064.25,4066.74,4061.57,4062.26,1124
2024-01-03,00:55,4064.95,4066.68,4061.64,4063.72,1125
2024-01-03,01:00,4065.60,4067.42,4063.21,4066.26,1126
2024-01-03,01:05,4066.20,4070.59,4065.24,4068.15,1127
2024-01-03,01:10,4066.75,4070.14,4064.87,4068.19,1128
2024-01-03,01:15,4067.25,4068.14,4064.40,4066.86,1129
2024-01-03,01:20,4067.69,4070.05,4064.60,4065.83,1130
2024-01-03,01:25,4068.08,4070.20,4064.79,4066.46,1131
2024-01-03,01:30,4068.41,4069.13,4065.92,4068.52,1132
2024-01-03,01:35,4068.69,4072.67,4067.20,4070.43,1133
2024-01-03,01:40,4068.91,4072.96,4067.48,4070.68,1134
2024-01-03,01:45,4069.08,4069.93,4066.59,4069.26,1135
2024-01-03,01:50,4069.19,4071.27,4065.88,4067.61,1136
2024-01-03,01:55,4069.25,4071.63,4066.19,4067.36,1137
2024-01-03,02:00,4069.25,4070.20,4066.34,4068.79,1138
2024-01-03,02:05,4069.19,4072.48,4067.26,4070.59,1139
2024-01-03,02:10,4069.09,4073.51,4068.19,4071.05,1140
2024-01-03,02:15,4068.93,4070.88,4066.57,4069.66,1141
